0xbf89a6ecL _NtUserSelectPalette@12
0xbf89aa89L _NtUserGetIconInfo@24
0xbf89c5f9L _NtUserGetSystemMenu@8
0xbf89d294L _NtUserThunkedMenuItemInfo@24
0xbf89e762L _NtUserEnumDisplayDevices@16
0xbf89e879L _NtUserGetAtomName@8
0xbf89ecf5L _NtUserfnINOUTLPSCROLLINFO@28
0xbf89ee1dL _NtUserDeleteMenu@12
0xbf8a147aL _NtUserGetWindowCompositionInfo@8
0xbf8a1a79L _NtUserUpdateInputContext@12
0xbf8a1d0aL _NtUserCallTwoParam@12
0xbf8a1dddL _NtUserSetWindowFNID@8
0xbf8a1fdfL _NtUserGetWindowCompositionAttribute@8
0xbf8a4122L _NtUserGetCaretBlinkTime@0
0xbf8a416cL _NtUserGetClassInfoEx@20
0xbf8a5ae8L _NtUserSetImeOwnerWindow@8
0xbf8a5bd8L _NtUserNotifyIMEStatus@12
0xbf8a5d6dL _NtUserQueryInputContext@8
0xbf8a60cbL _NtUserChangeWindowMessageFilterEx@16
0xbf8a638dL _NtUserSetWinEventHook@32
0xbf8a66c9L _NtUserPostThreadMessage@16
0xbf8a7175L _NtUserSetWindowLong@16
0xbf8a7e52L _NtUserSetScrollInfo@16
0xbf8a89b2L _NtUserPostMessage@16
0xbf8a8ad1L _NtUserGetWindowDC@4
0xbf8a8f6dL _NtUserInternalGetWindowText@12
0xbf8a91c9L _NtUserGetTitleBarInfo@8
0xbf8a92d5L _NtUserCalcMenuBar@20
0xbf8a9a85L _NtUserSBGetParms@16
0xbf8aa055L _NtUserGetScrollBarInfo@12
0xbf8aa70aL _NtUserGetThreadState@4
0xbf8aa90eL _NtUserKillTimer@8
0xbf8aa9f0L _NtUserValidateTimerCallback@4
0xbf8aaa51L _NtUserSetTimer@16
0xbf8ac3f5L _NtUserfnINSTRINGNULL@28
0xbf8acbebL _NtUserGetDC@4
0xbf8ae0a7L _NtUserRemoveProp@8
0xbf8b0566L _NtUserQueryWindow@8
0xbf8b168aL _NtUserGetProp@8
0xbf8b16c2L _NtUserSetProp@12
0xbf8b179bL _NtUserMessageCall@28
0xbf8b1c1cL _NtUserRealInternalGetMessage@24
0xbf8b1d67L _NtUserPeekMessage@20
0xbf8b1ea6L _NtUserWaitMessage@0
0xbf8c012cL _NtUserSfmDxSetSwapChainStats@8
0xbf8c0e2cL _NtUserGetMessage@16
0xbf8c4a27L _NtUserEndPaint@8
0xbf8c52a2L _NtUserDispatchMessage@4
0xbf8c5323L _NtUserInvalidateRect@12
0xbf8c7842L _NtUserSystemParametersInfo@16
0xbf8cb3ccL _NtUserBeginPaint@8
0xbf8cc2adL _NtUserCallNoParam@4
0xbf8cc2ebL _NtUserCallOneParam@8
0xbf8d1894L _NtUserConsoleControl@12
0xbf8d6390L _NtUserProcessConnect@8
0xbf8d69f4L _NtUserGetThreadDesktop@4
0xbf8d90eaL _NtUserNotifyProcessCreate@16
0xbf8d9385L _NtUserSetProcessDPIAware@0
0xbf8ddd4cL _NtUserScrollDC@28
0xbf8df2b1L _NtUserDoSoundDisconnect@0
0xbf8e0c3fL _NtUserQueryInformationThread@16
0xbf8e3b07L _Win32kNtUserCleanup@0
0xbf8e4759L _NtUserLockWorkStation@0
0xbf8e584bL _NtUserCalculatePopupWindowPosition@20
0xbf8e7613L _NtUserDisplayConfigGetDeviceInfo@4
0xbf8e7a0bL _NtUserfnINLPDELETEITEMSTRUCT@28
0xbf8eb546L _NtUserClipCursor@4
0xbf8ed386L _NtUserToUnicodeEx@28
0xbf8ed5a6L _NtUserGetMenuItemRect@16
0xbf8ee802L _NtUserConvertMemHandle@8
0xbf8ee86cL _NtUserSetClipboardData@12
0xbf8ee91cL _NtUserEmptyClipboard@0
0xbf8efa7fL _NtUserGetClipboardData@8
0xbf8efd5aL _NtUserCreateLocalMemHandle@16
0xbf8efe05L _NtUserfnINOUTLPRECT@28
0xbf8f12c1L _NtUserfnOUTLBOXSTRING@28
0xbf8f17e1L _NtUserfnOUTCBOXSTRING@28
0xbf8f197fL _NtUserfnINOUTLPPOINT5@28
0xbf8f1a1cL _NtUserfnOPTOUTLPDWORDOPTOUTLPDWORD@28
0xbf8f36f3L _NtUserSfmDxQuerySwapChainBindingStatus@12
0xbf8f3a14L _NtUserSfmDxOpenSwapChain@16
0xbf8f3c6dL _NtUserSfmDxBindSwapChain@12
0xbf8f4167L _NtUserSfmDxGetSwapChainStats@8
0xbf8fa8afL _NtUserfnDDEINIT@28
0xbf8fc749L _NtUserHwndSetRedirectionInfo@16
0xbf8fe874L _NtUserSfmDxSetSwapChainBindingStatus@8
0xbf8fef69L _NtUserSfmDxReleaseSwapChain@8
0xbf9026bbL _NtUserInternalGetWindowIcon@8
0xbf903464L _NtUserHungWindowFromGhostWindow@4
0xbf90855aL _NtUserDwmStopRedirection@0
0xbf909da7L _NtUserChangeDisplaySettings@16
0xbf90a620L _NtUserHwndQueryRedirectionInfo@16
0xbf90b449L _NtUserSetClipboardViewer@4
0xbf90c2afL _NtUserGetOpenClipboardWindow@0
0xbf90cf30L _NtUserMagGetContextInformation@16
0xbf90d251L _NtUserMagSetContextInformation@16
0xbf90e132L _NtUserMagControl@8
0xbf90f23aL _NtUserGetClipboardFormatName@12
0xbf90f988L _NtUserfnHkINLPMSLLHOOKSTRUCT@12
0xbf91052eL _NtUserfnHkINLPCBTCREATESTRUCT@16
0xbf915195L _NtUserfnINCBOXSTRING@28
0xbf916473L _NtUserChildWindowFromPointEx@16
0xbf9194f3L _NtUserGetControlBrush@12
0xbf91af04L _NtUserChangeClipboardChain@8
0xbf91bd31L _NtUserBitBltSysBmp@32
0xbf91bdb6L _NtUserEnableScrollBar@12
0xbf91be5bL _NtUserCreateInputContext@4
0xbf91beaaL _NtUserDestroyInputContext@4
0xbf91c943L _NtUserGetCursorFrameInfo@16
0xbf91cf11L _NtUserSetWindowWord@12
0xbf91d0a7L _NtUserFlashWindowEx@4
0xbf91d169L _NtUserCallNextHookEx@16
0xbf91d2e4L _NtUserfnHkINLPMSG@16
0xbf91e60aL _NtUserSetWindowRgnEx@12
0xbf91faadL _NtUserExcludeUpdateRgn@8
0xbf920c30L _NtUserfnINLBOXSTRING@28
0xbf920c99L _NtUserfnINSTRING@28
0xbf9210d3L _NtUserSetSystemMenu@8
0xbf9213abL _NtUserGetUpdateRgn@12
0xbf92159bL _NtUserWaitForInputIdle@12
0xbf921ab8L _NtUserDefSetText@8
0xbf92448dL _NtUserValidateRect@8
0xbf927e77L _NtUserCopyAcceleratorTable@12
0xbf92801eL _NtUserGetCaretPos@4
0xbf928ea6L _NtUserGetComboBoxInfo@8
0xbf92a1f2L _NtUserMenuItemFromPoint@16
0xbf92a322L _NtUserValidateHandleSecure@4
0xbf92b390L _NtUserSetThreadState@8
0xbf92cecdL _NtUserfnINOUTLPMEASUREITEMSTRUCT@28
0xbf92cf6aL _NtUserfnOUTLPRECT@28
0xbf92e2deL _NtUserfnDWORDOPTINLPMSG@28
0xbf92ec4fL _NtUserShowScrollBar@12
0xbf92f202L _NtUserScrollWindowEx@32
0xbf92fff6L _NtUserfnINLPDRAWITEMSTRUCT@28
0xbf9357e2L _NtUserTrackPopupMenuEx@24
0xbf93590bL _NtUserCountClipboardFormats@0
0xbf936194L _NtUserFillWindow@16
0xbf93ceddL _NtUserCreateCaret@16
0xbf93dc55L _NtUserCloseClipboard@0
0xbf93dc74L _NtUserOpenClipboard@8
0xbf93dd09L _NtUserIsClipboardFormatAvailable@4
0xbf93dd45L _NtUserGetClipboardSequenceNumber@0
0xbf93dd6bL _NtUserGetClipboardOwner@0
0xbf93f743L _NtUserThunkedMenuInfo@8
0xbf93fb83L _NtUserCallMsgFilter@8
0xbf9419a6L _NtUserDestroyAcceleratorTable@4
0xbf945746L _NtUserTranslateMessage@8
0xbf945c7fL _NtUserBlockInput@4
0xbf947990L _NtUserLogicalToPhysicalPoint@8
0xbf947c0cL _NtUserWindowFromPhysicalPoint@8
0xbf947c35L _NtUserfnOUTLPTITLEBARINFOEX@28
0xbf9487e9L _NtUserfnGETDBCSTEXTLENGTHS@28
0xbf949c9cL _NtUserSendInput@12
0xbf94aa78L _NtUserPhysicalToLogicalPoint@8
0xbf94ac67L _NtUserWindowFromPoint@8
0xbf94c7c4L _NtUserGetKeyboardState@4
0xbf94e1baL _NtUserSetCapture@4
0xbf94ec5aL _NtUserMapVirtualKeyEx@16
0xbf94f29bL _NtUserSetKeyboardState@4
0xbf94f7d4L _NtUserGetWindowPlacement@8
0xbf94fb18L _NtUserLockWindowUpdate@4
0xbf94fe30L _NtUserTranslateAccelerator@12
0xbf9544f1L _NtUserRemoteRedrawRectangle@16
0xbf954548L _NtUserRemoteRedrawScreen@0
0xbf954598L _NtUserRemoteStopScreenUpdates@0
0xbf9545daL _NtUserWaitForMsgAndEvent@4
0xbf954602L _NtUserDragObject@20
0xbf9546ddL _NtUserUpdateInstance@12
0xbf954764L _NtUserEvent@4
0xbf9547e9L _NtUserGetWOWClass@8
0xbf954872L _NtUserGetInternalWindowPos@12
0xbf954944L _NtUserInitTask@48
0xbf954a49L _NtUserRegisterTasklist@4
0xbf954a7dL _NtUserGetListBoxInfo@4
0xbf954ad5L _NtUserGetCursorInfo@4
0xbf954bd0L _NtUserRealChildWindowFromPoint@12
0xbf954c0eL _NtUserGetAltTabInfo@24
0xbf954d27L _NtUserSetInternalWindowPos@16
0xbf954e17L _NtUserGetTopLevelWindow@4
0xbf954e57L _NtUserGetWindowDisplayAffinity@8
0xbf954ee8L _NtUserSetWindowDisplayAffinity@8
0xbf954f61L _NtUserGetClipCursor@4
0xbf954febL _NtUserGetMenuIndex@8
0xbf95504bL _NtUserSetMenuContextHelpId@8
0xbf955088L _NtUserSetMenuFlagRtoL@4
0xbf9550bcL _NtUserDrawAnimatedRects@16
0xbf95517fL _NtUserDrawCaption@16
0xbf955228L _NtUserGetControlColor@16
0xbf9552ccL _NtUserGetClipboardViewer@0
0xbf9552f8L _NtUserGetPriorityClipboardFormat@8
0xbf95537bL _NtUserHiliteMenuItem@16
0xbf955426L _NtUserMinMaximize@12
0xbf9554b4L _NtUserMNDragOver@8
0xbf95554cL _NtUserMNDragLeave@0
0xbf955569L _NtUserSetClassWord@12
0xbf9555a5L _NtUserSetSysColors@16
0xbf955759L _NtUserSetWindowsHookAW@12
0xbf955785L _NtUserShowWindowAsync@8
0xbf955808L _NtUserSetMirrorRendering@8
0xbf95588dL _NtUserShowSystemCursor@4
0xbf9558d5L _NtUserGetMouseMovePointsEx@20
0xbf9559a1L _NtUserYieldTask@0
0xbf955a6bL _NtUserRealWaitMessageEx@8
0xbf955aabL _NtUserSetSystemCursor@8
0xbf955ae4L _NtUserSetCursorContents@8
0xbf955b2bL _NtUserTestForInteractiveUser@4
0xbf955b8eL _NtUserModifyUserStartupInfoFlags@8
0xbf955bd0L _NtUserAlterWindowStyle@12
0xbf955c20L _NtUserOpenThreadDesktop@16
0xbf955c75L _NtUserCheckWindowThreadDesktop@8
0xbf955ce5L _NtUserUserHandleGrantAccess@12
0xbf955ed7L _NtUserBuildPropList@16
0xbf955fa3L _NtUserUnloadKeyboardLayout@4
0xbf955fd1L _NtUserDragDetect@12
0xbf95602fL _NtUserSetSystemTimer@12
0xbf95607dL _NtUserQuerySendMessage@4
0xbf956121L _NtUserImpersonateDdeClientWindow@8
0xbf95618eL _NtUserGetKeyNameText@12
0xbf956207L _NtUserGetKeyboardLayoutName@4
0xbf9562f4L _NtUserGetInputLocaleInfo@8
0xbf9563eeL _NtUserSetDisplayConfig@20
0xbf9566fcL _NtUserDisplayConfigSetDeviceInfo@4
0xbf956841L _NtUserDrawMenuBarTemp@20
0xbf956912L _NtUserDrawCaptionTemp@28
0xbf956ad1L _NtUserfnINOUTNEXTMENU@28
0xbf956b6bL _NtUserfnCOPYGLOBALDATA@28
0xbf956bdeL _NtUserfnSENTDDEMSG@28
0xbf956c82L _NtUserfnINPAINTCLIPBRD@28
0xbf956cf4L _NtUserfnINSIZECLIPBRD@28
0xbf956d63L _NtUserfnINLPMDICREATESTRUCT@28
0xbf956e6dL _NtUserfnINOUTSTYLECHANGE@28
0xbf956f0fL _NtUserfnINLPCOMPAREITEMSTRUCT@28
0xbf956f7fL _NtUserfnINLPHLPSTRUCT@28
0xbf95705cL _NtUserfnINLPHELPINFOSTRUCT@28
0xbf9570e7L _NtUserfnOUTDWORDINDWORD@28
0xbf95714dL _NtUserfnINCNTOUTSTRING@28
0xbf95722eL _NtUserfnINCNTOUTSTRINGNULL@28
0xbf9572f5L _NtUserfnPOUTLPINT@28
0xbf95736eL _NtUserfnPOPTINLPUINT@28
0xbf9573f5L _NtUserfnINLPWINDOWPOS@28
0xbf957465L _NtUserfnINWPARAMCHAR@28
0xbf9574daL _NtUserfnKERNELONLY@28
0xbf9574e6L _NtUserfnIMECONTROL@28
0xbf95767dL _NtUserfnHkINLPRECT@12
0xbf9576d8L _NtUserfnHkINLPDEBUGHOOKSTRUCT@12
0xbf95775dL _NtUserfnHkOPTINLPEVENTMSG@12
0xbf9577eeL _NtUserfnHkINLPKBDLLHOOKSTRUCT@12
0xbf95784aL _NtUserfnHkINLPCBTACTIVATESTRUCT@12
0xbf9578b0L _NtUserGetImeHotKey@16
0xbf95797aL _NtUserSetAppImeLevel@8
0xbf9579e0L _NtUserGetAppImeLevel@4
0xbf957a48L _NtUserSetThreadLayoutHandles@8
0xbf957ad5L _NtUserfnINOUTMENUGETOBJECT@28
0xbf957b67L _NtUserfnOUTLPCOMBOBOXINFO@28
0xbf957c04L _NtUserfnOUTLPSCROLLBARINFO@28
0xbf957ca1L _NtUserfnINLPUAHDRAWMENUITEM@28
0xbf957d17L _NtUserfnINLPUAHINITMENU@28
0xbf957d85L _NtUserfnINOUTLPUAHMEASUREMENUITEM@28
0xbf957e22L _NtUserfnTOUCH@28
0xbf957ea7L _NtUserfnGESTURE@28
0xbf957f20L _NtUserfnINPGESTURENOTIFYSTRUCT@28
0xbf957ffcL _NtUserUpdateWindowTransform@12
0xbf9580efL _NtUserGetLayeredWindowAttributes@16
0xbf9581c5L _NtUserPrintWindow@12
0xbf958253L _NtUserGetRawInputData@20
0xbf9583ddL _NtUserGetRawInputDeviceInfo@16
0xbf9586bdL _NtUserGetRawInputDeviceList@12
0xbf9587e2L _NtUserGetRegisteredRawInputDevices@12
0xbf95881dL _NtUserGetRawInputBuffer@12
0xbf958a92L _NtUserUnregisterSessionPort@0
0xbf958acdL _NtUserSfmGetLogicalSurfaceBinding@16
0xbf958c16L _NtUserSfmDestroyLogicalSurfaceBinding@4
0xbf958c9eL _NtUserAddClipboardFormatListener@4
0xbf958d7fL _NtUserRemoveClipboardFormatListener@4
0xbf958de9L _NtUserGetUpdatedClipboardFormats@12
0xbf958f32L _NtUserRegisterErrorReportingDialog@8
0xbf958f69L _NtUserFrostCrashedWindow@8
0xbf958fbeL _NtUserCheckAccessForIntegrityLevel@12
0xbf9590baL _NtUserModifyWindowTouchCapability@12
0xbf959121L _NtUserIsTouchWindow@8
0xbf9591adL _NtUserSendTouchInput@16
0xbf9592f1L _NtUserEndTouchOperation@4
0xbf959382L _NtUserGetTouchInputInfo@16
0xbf959463L _NtUserInjectGesture@20
0xbf95962fL _NtUserGetGestureInfo@8
0xbf9596f4L _NtUserGetGestureExtArgs@12
0xbf9597ceL _NtUserManageGestureHandlerWindow@8
0xbf959850L _NtUserGetGestureConfig@24
0xbf9599e3L _NtUserCtxDisplayIOCtl@12
0xbf959ab7L _NtUserHardErrorControl@12
0xbf959b7cL _NtUserSetObjectInformation@16
0xbf959c3dL _NtUserResolveDesktopForWOW@4
0xbf959d66L _NtUserGetGuiResources@8
