0xbf972ce8L 1 10 _xxxClientLpkDrawTextEx@40
0xbf972f5fL 1 11 _SfnIMECONTROL@32
0xbf9735cfL 1 10 _SfnINPGESTURENOTIFYSTRUCT@32
0xbf81509eL 1 11 _xxxLoadKeyboardLayoutEx@36
0xbf809639L 1 1 _xxxImmLoadLayout@4
0xbf81b059L 1 12 _xxxLW_LoadFonts@4
0xbf814b55L 1 8 _xxxLoadSomeStrings@0
0xbf81b25bL 1 3 _xxxAddFontResourceW@12
0xbf82ed0fL 1 61 _xxxWrapCallWindowProc@20
0xbf84c905L 1 134 _xxxHkCallHook@16
0xbf8724c6L 1 72 _xxxSendMessageCallback@32
0xbf872a83L 1 80 _xxxDefWindowProc@16
0xbf89f750L 1 76 _xxxReceiveMessage@4
0xbf8c44d9L 1 126 _xxxSendMessageToClient@28
0xbf8c4e59L 1 133 _xxxDispatchMessage@4
0xbf81849aL 1 3 _xxxUpdateSystemCursorsFromRegistry@4
0xbf81f8baL 1 10 _xxxLoadDesktopWallpaper@4
0xbf95a958L 1 4 _xxxUpdateSystemIconsFromRegistry@4
0xbf915201L 1 12 _SfnINCBOXSTRING@32
0xbf923435L 1 12 _SfnINLBOXSTRING@32
0xbf814a88L 1 6 _xxxMB_FindLongestString@4
0xbf81df1fL 1 8 _xxxPSMGetTextExtent@16
0xbf935685L 1 3 _MNRecalcTabStrings@24
0xbf941a99L 1 4 _xxxTooltipGetSize@8
0xbf965188L 1 14 _xxxDrawCaptionTemp@28
0xbf96acc5L 1 6 _xxxDrawItemUnderline@24
0xbf97d0d2L 1 5 _DT_GetExtentMinusPrefixes@28
0xbf8375d5L 1 2 _xxxSetClassData@16
0xbf892820L 1 51 _xxxCreateWindowEx@60
0xbf8a8324L 1 5 _xxxSetWindowData@16
0xbf8c087fL 1 14 _xxxSleepTask@8
0xbf8c0b9eL 1 9 _xxxRealSleepThread@12
0xbf925965L 1 7 _xxxPollAndWaitForSingleObject@12
0xbf870bf0L 1 4 _xxxProcessNotifyWinEvent@4
0xbf89c108L 1 7 _xxxLoadSysMenu@4
0xbf9629e8L 1 1 _xxxGetScrollMenu@8
0xbf86f997L 1 5 _xxxLoadHmodIndex@4
0xbf897ea2L 1 16 _xxxCallCtfHook@16
0xbf882f9aL 1 5 _xxxEnumDisplayMonitors@20
0xbf878a1cL 1 3 _xxxCreateWindowSmIcon@12
0xbf89e9f4L 1 3 _xxxCreateClassSmIcon@4
0xbf8b9355L 1 38 _xxxInternalGetMessage@24
0xbf8b1e7fL 1 6 _xxxWaitMessageEx@8
0xbf8a0021L 1 33 _xxxFreeWindow@8
0xbf8d5430L 1 9 _xxxCreateThreadInfo@4
0xbf94c244L 1 3 _xxxInternalToUnicode@32
0xbf8f13b9L 1 10 _SfnOUTLBOXSTRING@32
0xbf8f18dcL 1 10 _SfnOUTCBOXSTRING@32
0xbf850e35L 1 2 _xxxEventWndProc@16
0xbf8fad09L 1 7 _xxxCopyDdeIn@16
0xbf8fb5b5L 1 1 _xxxCopyDDEOut@8
0xbf91d8e4L 1 51 _ClientPrinterThunk@16
0xbf8fd174L 1 5 _xxxDrawMenuItemText@28
0xbf940e2dL 1 5 _xxxTooltipRender@8
0xbf946da6L 1 2 _xxxDoSysExpunge@4
0xbf94de7dL 1 2 _xxxImmProcessKey@20
0xbf8fb161L 1 4 _xxxFreeListFree@4
0xbf96d8b6L 1 6 _FreeDDEHandle@12
0xbf96dd35L 1 4 _xxxRequestAck@12
0xbf8faf1fL 1 7 _xxxDDETrackPostHook@20
0xbf8ef29aL 1 14 _xxxSnapWindow@4
0xbf967e81L 1 1 _xxxClientLoadOLE@0
0xbf967eb9L 1 2 _xxxClientRegisterDragDrop@4
0xbf967ed8L 1 1 _xxxClientRevokeDragDrop@4
0xbf8aae9aL 1 62 _xxxRealDefWindowProc@16
0xbf97b996L 1 4 _xxxMNFindChar@16
0xbf97bc91L 1 9 _xxxPSMTextOut@24
0xbf97d1a6L 1 3 _DT_DrawStr@36
0xbf814f98L 1 2 _xxxSafeLoadKeyboardLayoutEx@36
0xbf80861dL 1 1 _CreateTerminalInput@4
0xbf818f4aL 1 55 _NtUserCallHwndOpt@8
0xbf81dd6bL 1 55 _NtUserCallHwnd@8
0xbf864c55L 1 55 _NtUserCallHwndParamLock@12
0xbf871d7aL 1 55 _NtUserCallHwndLock@8
0xbf8896a1L 1 55 _NtUserCallHwndParam@12
0xbf8a1d0aL 1 55 _NtUserCallTwoParam@12
0xbf8cc2adL 1 55 _NtUserCallNoParam@4
0xbf8cc2ebL 1 55 _NtUserCallOneParam@8
0xbf808bdaL 1 4 _xxxInitWindowStation@0
0xbf815f8bL 1 14 _xxxUpdatePerUserSystemParameters@4
0xbf81ac2fL 1 3 _xxxbEnumerateRegistryFonts@4
0xbf89b1bdL 1 15 _xxxCallHook2@20
0xbf82ee01L 1 14 _xxxBroadcastMessage@28
0xbf8387aeL 1 9 _QueueNotifyMessage@20
0xbf849349L 1 17 _xxxCapture@12
0xbf86b674L 1 22 _xxxSendNotifyMessage@20
0xbf8726ffL 1 0 _xxxWrapSendMessageCallback@20
0xbf960910L 1 8 _xxxPaintIconsInSwitchWindow@36
0xbf844e30L 1 13 _xxxTooltipWndProc@16
0xbf874b8eL 1 17 _xxxDesktopWndProcWorker@16
0xbf8c46adL 1 23 _xxxSendMessageTimeout@32
0xbf91a4edL 1 6 _xxxGetColorObjects@8
0xbf936117L 1 5 _xxxGetControlColor@16
0xbf93dd97L 1 70 _xxxMenuWindowProc@16
0xbf95ea64L 1 2 _xxxDoSend@16
0xbf961336L 1 5 _xxxSwitchWndProc@16
0xbf963b7eL 1 31 _xxxSBWndProc@16
0xbf807e1dL 1 9 _RawInputThread@4
0xbf8b95d4L 1 22 _xxxRealInternalGetMessage@24
0xbf8bb01dL 1 6 _xxxUserYield@4
0xbf849ebdL 1 13 _xxxSetCsrssThreadDesktop@8
0xbf84c297L 1 10 _xxxRestoreCsrssThreadDesktop@4
0xbf8749e8L 1 7 _xxxHandleDesktopMessages@8
0xbf8c52a2L 1 0 _NtUserDispatchMessage@4
0xbf92f79eL 1 21 _xxxMNLoop@16
0xbf952450L 1 24 _xxxMoveSize@12
0xbf961895L 1 20 _xxxOldNextWindow@4
0xbf962cddL 1 6 _xxxSBTrackLoop@12
0xbf97b5a6L 1 23 _xxxHelpLoop@4
0xbf8c80eeL 1 32 _xxxSystemParametersInfo@16
0xbf822933L 1 7 _xxxSetDeskWallpaper@8
0xbf813da6L 1 26 _xxxSetNCFonts@8
0xbf84a5fcL 1 4 _xxxMNItemSize@24
