0xbf871739L _NtUserTrackMouseEvent@4
0xbf8facdfL _CleanupAndFreeDdeConv@4
0xbf81de7eL _NtUserSoundSentry@0
0xbf95cf26L _ProcessKeyboardInput@4
0xbf909da7L _NtUserChangeDisplaySettings@16
0xbf9563eeL _NtUserSetDisplayConfig@20
0xbf839cfbL _NtUserSetWindowPlacement@8
0xbf92ec4fL _NtUserShowScrollBar@12
0xbf954d27L _NtUserSetInternalWindowPos@16
0xbf879eb5L _NtUserSetActiveWindow@4
0xbf8e555fL _FreeWindowStation@4
0xbf95537bL _NtUserHiliteMenuItem@16
0xbf94ac67L _NtUserWindowFromPoint@8
0xbf947c0cL _NtUserWindowFromPhysicalPoint@8
0xbf93f743L _NtUserThunkedMenuInfo@8
0xbf9554b4L _NtUserMNDragOver@8
0xbf8ed5a6L _NtUserGetMenuItemRect@16
0xbf92a1f2L _NtUserMenuItemFromPoint@16
0xbf90855aL _NtUserDwmStopRedirection@0
0xbf8eb546L _NtUserClipCursor@4
0xbf955759L _NtUserSetWindowsHookAW@12
0xbf955aabL _NtUserSetSystemCursor@8
0xbf81902cL _NtUserSetShellWindowEx@8
0xbf843e88L _NtUserMoveWindow@24
0xbf864051L _NtUserGetUpdateRect@12
0xbf9213abL _NtUserGetUpdateRgn@12
0xbf92488bL _NtGdiResetDC@20
0xbf9b5f59L _NtGdiBRUSHOBJ_pvGetRbrush@4
0xbf8b39d3L _NtGdiCreateDIBSection@36
0xbf988520L _DxEngDeleteSurface@4
0xbf81d47bL _FreeDesktop@4
0xbf949c9cL _NtUserSendInput@12
0xbf96d2e6L _xxxAccessTimeOutTimer@16
0xbf8eae7dL _NormalAPCInvalidateCOMPOSITEDWnd@12
0xbf98838cL _DxEngRedrawDesktop@0
0xbf95554cL _NtUserMNDragLeave@0
0xbf9546ddL _NtUserUpdateInstance@12
0xbf83f236L _NtUserRemoveMenu@12
0xbf89ee1dL _NtUserDeleteMenu@12
0xbf958a92L _NtUserUnregisterSessionPort@0
0xbf89e762L _NtUserEnumDisplayDevices@16
0xbf8d90eaL _NtUserNotifyProcessCreate@16
0xbf8a91c9L _NtUserGetTitleBarInfo@8
0xbf86a358L _NtUserSetMenu@12
0xbf99ed29L ?FilteredBitBlt@@YGHPAU_SURFOBJ@@00PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@4PAU_BRUSHOBJ@@4K@Z
0xbf8a7616L _NtGdiCreateCompatibleBitmap@12
0xbf9b3920L _NtGdiEngDeleteSurface@4
0xbf9b399cL _NtGdiEngCreateBitmap@24
0xbf9bc2ddL ?MulDeleteDeviceOrRedirectionBitmap@@YGXPAUDHSURF__@@@Z
0xbf9bc347L ?MulCreateDeviceBitmap@@YGPAUHBITMAP__@@PAUDHPDEV__@@UtagSIZE@@K@Z
0xbf91ef4aL _NtGdiCreateDIBBrush@24
0xbf9a8980L _NtGdiCreateBitmapFromDxSurface@20
0xbf87761dL _NtGdiRestoreDC@8
0xbf98eb1cL _NtGdiEndDoc@4
0xbf98eb34L _NtGdiAbortDoc@4
0xbf98eb4cL _NtGdiStartPage@4
0xbf9b001dL ?pConvertDfbSurfaceToDibNKAPC@@YGXPAX00@Z
0xbf90d251L _NtUserMagSetContextInformation@16
0xbf8479c2L _NtUserSetLayeredWindowAttributes@16
0xbf9581c5L _NtUserPrintWindow@12
0xbf83a73eL _NtUserInvalidateRgn@12
0xbf88a15fL _NtUserRedrawWindow@16
0xbf8c5323L _NtUserInvalidateRect@12
0xbf9544f1L _NtUserRemoteRedrawRectangle@16
0xbf98a11bL _NtGdiDdDDISharedPrimaryUnLockNotification@4
0xbf80c802L _NtUserRemoteConnect@12
0xbf8d4de8L _ParseWindowStation@4
0xbf8f2ac3L _NtGdiGetCertificate@16
0xbf8f2c7aL _NtGdiGetSuggestedOPMProtectedOutputArraySize@8
0xbf8f2d68L _NtGdiCreateOPMProtectedOutputs@20
0xbf8f31f8L _NtGdiGetCertificateSize@12
0xbf9b76edL _NtGdiGetNumberOfPhysicalMonitors@8
0xbf9b771cL _NtGdiGetPhysicalMonitors@16
0xbf954ee8L _NtUserSetWindowDisplayAffinity@8
0xbf9b4caeL _NtGdiEngBitBlt@44
0xbf9be97dL ?MulCopyBits@@YGHPAU_SURFOBJ@@0PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@@Z
0xbf9d7d5dL ?PanCopyBits@@YGHPAU_SURFOBJ@@0PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@@Z
0xbf9b5155L _NtGdiEngFillPath@28
0xbf9c24beL ?BmpDevFillPath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_BRUSHOBJ@@PAU_POINTL@@KK@Z
0xbf89aa89L _NtUserGetIconInfo@24
0xbf86d374L _NtGdiCreateDIBitmapInternal@44
0xbf89898eL _NtUserGetWindowRgnEx@12
0xbf863c46L _NtUserDestroyCursor@8
0xbf86c1dcL _DestroyUnlockedCursor@4
0xbf89c91dL _NtGdiStretchDIBitsInternal@64
0xbf8957a7L _NtUserSetCursorIconData@16
0xbf9026bbL _NtUserInternalGetWindowIcon@8
0xbf851442L _NtGdiMaskBlt@52
0xbf8c4e07L _NtGdiBitBlt@44
0xbf91bd31L _NtUserBitBltSysBmp@32
0xbf8f7b45L _NtGdiPlgBlt@44
0xbf936750L _NtGdiGradientFill@24
0xbf9b456cL _NtGdiEngStretchBlt@44
0xbf9d7badL ?PanStretchBlt@@YGHPAU_SURFOBJ@@00PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAUtagCOLORADJUSTMENT@@PAU_POINTL@@PAU_RECTL@@54K@Z
0xbf9bcf87L ?MulEnableSurface@@YGPAUHSURF__@@PAUDHPDEV__@@@Z
0xbfa24fb9L _FontDriverQueryRoutine@24
0xbf90c2dbL _NtGdiExtCreatePen@44
0xbf989401L _DxEngUnreferenceHdev@4
0xbf9b388bL _NtGdiEngAssociateSurface@12
0xbf9b3da4L _NtGdiGetDhpdev@4
0xbf9bb17eL ?MulDisablePDEV@@YGXPAUDHPDEV__@@@Z
0xbf9bbcfcL ?MulCompletePDEV@@YGXPAUDHPDEV__@@PAUHDEV__@@@Z
0xbf93d413L _CaretBlinkProc@16
0xbf9884e3L _DxEngCleanDC@4
0xbf98921eL _NtGdiDdCreateFullscreenSprite@16
0xbf92448dL _NtUserValidateRect@8
0xbf9599e3L _NtUserCtxDisplayIOCtl@12
